datetime,close,high,low,open,volume,instrument
2014-01-24 00:00:00,114,115.35,113,113.15,5737135,Ocladinh
2014-01-27 00:00:00,111.1,112.7,109.3,112,8724577,Ocladinh
2014-01-28 00:00:00,113.8,115,109.75,110,4513345,Ocladinh
2014-01-29 00:00:00,111.75,114.75,111.15,114.5,4713458,Ocladinh
2014-01-30 00:00:00,108.1,110.7,107.6,110.2,5077231,Ocladinh
2014-01-31 00:00:00,109.55,110,107,109.05,8287236,Ocladinh
2014-02-03 00:00:00,103.45,109.4,103,109,5572627,Ocladinh
2014-02-04 00:00:00,102.45,103.45,99.8,102,13935173,Ocladinh
2014-02-05 00:00:00,104.25,105.15,101,102.4,9106760,Ocladinh
2014-02-06 00:00:00,105.75,106.5,103.1,104.65,10194884,Ocladinh
2014-02-07 00:00:00,106.4,107.7,104.75,106.15,9650511,Ocladinh
2014-02-10 00:00:00,106.8,107.7,105.8,106.45,3124538,Ocladinh
2014-02-11 00:00:00,104.55,107.1,104.25,106.9,3964390,Ocladinh
2014-02-12 00:00:00,103.5,105.6,103.05,105.15,5325176,Ocladinh
2014-02-13 00:00:00,100.2,104.55,99.75,103.9,12652556,Ocladinh
2014-02-14 00:00:00,99.9,101,97.85,100.75,6390793,Ocladinh
2014-02-17 00:00:00,98.5,100.75,97.65,100,6870442,Ocladinh
2014-02-18 00:00:00,99.3,100.5,97.75,98.7,8475360,Ocladinh
2014-02-19 00:00:00,98.85,100.1,98.4,99.6,4582897,Ocladinh
2014-02-20 00:00:00,97.35,98.55,97.05,98.5,3404267,Ocladinh
2014-02-21 00:00:00,97.65,98.25,97.3,97.3,6484994,Ocladinh
2014-02-24 00:00:00,97.45,98.8,96.7,97.65,8047904,Ocladinh
2014-02-25 00:00:00,98.8,99.05,97,97.15,15034041,Ocladinh
2014-02-26 00:00:00,98.4,99.75,98.05,99.75,12130348,Ocladinh
2014-02-28 00:00:00,105.35,106.4,99,99,26493472,Ocladinh
2014-03-03 00:00:00,105.6,107.35,104.7,105,9870841,Ocladinh
2014-03-04 00:00:00,113.6,114.25,105.4,105.4,16427565,Ocladinh
2014-03-05 00:00:00,115.75,117.2,112.2,114.85,12023136,Ocladinh
2014-03-06 00:00:00,120.8,121.2,114.7,115.75,16609108,Ocladinh
2014-03-07 00:00:00,124.55,125.85,119.8,120.1,15695038,Ocladinh
2014-03-10 00:00:00,121.95,123.5,121,123.05,8823020,Ocladinh
2014-03-11 00:00:00,117.4,121.9,116.2,121.9,14421017,Ocladinh
2014-03-12 00:00:00,114.75,118.4,113.95,115.7,9497798,Ocladinh
2014-03-13 00:00:00,115.65,118.95,114.5,114.5,6402750,Ocladinh
2014-03-14 00:00:00,115.2,116.1,113.5,114.7,5684021,Ocladinh
2014-03-18 00:00:00,114.85,116.4,114.2,116,8034386,Ocladinh
2014-03-19 00:00:00,120.05,121.1,114.05,115.25,15915307,Ocladinh
2014-03-20 00:00:00,119.65,121.95,119,119.65,7021283,Ocladinh
2014-03-21 00:00:00,123.5,124,119.8,120.55,10588714,Ocladinh
2014-03-22 00:00:00,121.2,123.15,120.75,123.15,652207,Ocladinh
2014-03-24 00:00:00,121.6,122.5,118.2,120,7514958,Ocladinh
2014-03-25 00:00:00,120.75,122.65,120.25,120.95,8547719,Ocladinh
2014-03-26 00:00:00,125.4,125.95,121.1,121.1,14059505,Ocladinh
2014-03-27 00:00:00,125.4,126.45,124.05,125.2,6763076,Ocladinh
2014-03-28 00:00:00,130.9,131.7,125,125.4,9719662,Ocladinh
2014-03-31 00:00:00,141.75,142.95,131.05,132,27873616,Ocladinh
2014-04-01 00:00:00,138.2,142.5,136.1,142,12584698,Ocladinh
2014-04-02 00:00:00,136,139.55,134.6,139,10111996,Ocladinh
2014-04-03 00:00:00,137.15,140.9,133.3,136,10256995,Ocladinh
2014-04-04 00:00:00,137.65,139.4,136.1,137.9,5444146,Ocladinh
2014-04-07 00:00:00,137.35,138.95,134.2,137.5,4661247,Ocladinh
2014-04-09 00:00:00,142.9,143.95,137.8,138,9943888,Ocladinh
2014-04-10 00:00:00,142.5,145.1,140.6,143.5,8923225,Ocladinh
2014-04-11 00:00:00,140.7,143.25,139.2,141.1,5404598,Ocladinh
2014-04-15 00:00:00,134.05,142.1,133.2,140.7,5422799,Ocladinh
2014-04-16 00:00:00,135.45,137.85,131.6,133.3,8006291,Ocladinh
2014-04-17 00:00:00,141.45,142,135,135.75,8629888,Ocladinh
2014-04-21 00:00:00,143.5,144.5,141.5,141.8,4436455,Ocladinh
2014-04-22 00:00:00,144.85,147.2,140.3,142,6223989,Ocladinh
2014-04-23 00:00:00,145.15,146,142.8,145,5031335,Ocladinh
2014-04-25 00:00:00,143.75,146.9,142.2,143.3,4116077,Ocladinh
2014-04-28 00:00:00,141.25,145.3,140.8,143,4118525,Ocladinh
2014-04-29 00:00:00,137.2,143,136.3,141,4775590,Ocladinh
2014-04-30 00:00:00,134.3,138.85,132.05,136.65,7609347,Ocladinh
2014-05-02 00:00:00,131.65,136,130.25,135.2,5364611,Ocladinh
2014-05-05 00:00:00,138.9,141,129.85,130,9715098,Ocladinh
2014-05-06 00:00:00,138.7,140.65,135.8,139.4,4170017,Ocladinh
2014-05-07 00:00:00,135.2,138.65,134.3,138.35,3592081,Ocladinh
2014-05-08 00:00:00,136.75,139.1,135,136.25,4178306,Ocladinh
2014-05-09 00:00:00,144.1,144.7,136.5,136.5,7371362,Ocladinh
2014-05-12 00:00:00,143.4,144.8,140.55,143.5,8081158,Ocladinh
2014-05-13 00:00:00,142.2,149.8,141.2,144,16612600,Ocladinh
2014-05-14 00:00:00,141.2,145.8,140.4,142.2,12157631,Ocladinh
2014-05-15 00:00:00,138.5,143.45,137.1,142,6154288,Ocladinh
2014-05-16 00:00:00,141.2,145.95,139.1,141.9,13107049,Ocladinh
2014-05-19 00:00:00,152.05,152.95,142,142.6,13751989,Ocladinh
2014-05-20 00:00:00,156.2,159,152.35,155.15,9385502,Ocladinh
2014-05-21 00:00:00,159.7,163.65,152.05,156.1,13573762,Ocladinh
2014-05-22 00:00:00,155.1,161.85,154,161.85,12270836,Ocladinh
2014-05-23 00:00:00,152.05,156.95,149.7,156.95,19542712,Ocladinh
2014-05-26 00:00:00,147.1,155.2,143.7,155,12522081,Ocladinh
2014-05-27 00:00:00,149.65,150.5,141.75,147.9,13805470,Ocladinh
2014-05-28 00:00:00,147.2,151.55,146.1,149.7,11376239,Ocladinh
2014-05-29 00:00:00,149.3,153.2,143.1,146.5,19321960,Ocladinh
2014-05-30 00:00:00,148,152.5,147,151.5,11040937,Ocladinh
2014-06-02 00:00:00,150.05,151.15,146.35,147.3,13844656,Ocladinh
2014-06-03 00:00:00,155.2,155.7,149.35,150.7,23276134,Ocladinh
2014-06-04 00:00:00,160.7,161.75,155.2,156,15948295,Ocladinh
2014-06-05 00:00:00,169.85,171,159.95,160.6,20296986,Ocladinh
2014-06-06 00:00:00,169.25,172.1,165.3,172,13769155,Ocladinh
2014-06-09 00:00:00,169.6,173.65,167.6,169.8,10337636,Ocladinh
2014-06-10 00:00:00,169.75,173.35,162.2,169.65,13457788,Ocladinh
2014-06-11 00:00:00,162.65,171.5,161,170,11473448,Ocladinh
2014-06-12 00:00:00,169.25,170,162,162.8,13367632,Ocladinh
2014-06-13 00:00:00,162.35,169.45,158.5,169.45,11006055,Ocladinh
2014-06-16 00:00:00,161.2,168.25,158.6,161.5,10365321,Ocladinh
2014-06-17 00:00:00,162.65,163.7,157,161,9823831,Ocladinh
2014-06-18 00:00:00,166.8,169.6,161.35,161.35,14186255,Ocladinh
2014-06-19 00:00:00,167.75,170.7,164.15,167.95,14719990,Ocladinh
